club_id,club_name,stadium_name,country,league_id,lat,lon,geo_query,dist_km,flag
131,Barcelona,Spotify Camp Nou,Spain,ES1,41.3808806,2.1228182,"Spotify Camp Nou, Barcelona, Spain",4.53052920950533,FALSE
331,CA Osasuna,El Sadar,Spain,ES1,42.7966736,-1.6371255,"CA Osasuna, Spain",0,FALSE
1244,CD Leganés,Ontime Butarque,Spain,ES1,40.3281942,-3.76527,"CD Leganés, Spain",0,FALSE
940,Celta de Vigo,Abanca Balaídos,Spain,ES1,42.2330354,-8.7155448,"Celta de Vigo, Spain",0,FALSE
2687,Cádiz CF,Nuevo Mirandilla,Spain,ES1,36.5028,-6.2733,reczna korekta,0,FALSE
993,Córdoba CF,Nuevo Arcángel,Spain,ES1,37.859,-4.7596,reczna korekta,0,FALSE
897,Dep. La Coruña,Abanca Riazor,Spain,ES1,43.3692,-8.4119,reczna korekta,0,FALSE
1531,Elche CF,Manuel Martínez Valero,Spain,ES1,38.2667,-0.665,reczna korekta,0,FALSE
714,Espanyol,RCDE Stadium,Spain,ES1,40.4211638,-3.7117889,"Espanyol, Spain",0,FALSE
3709,Getafe,Coliseum,Spain,ES1,40.3257247,-3.7149326,"Coliseum, Getafe, Spain",2.5882953613543065,FALSE
12321,Girona,Montilivi,Spain,ES1,41.9714636,2.8308192,"Montilivi, Girona, Spain",1.2520498534519295,FALSE
16795,Granada CF,Nuevo Los Cármenes,Spain,ES1,37.1736374,-3.5993469,"Granada CF, Spain",0,FALSE
3368,Levante,Ciutat de València,Spain,ES1,38.6453115,-0.9266378,"Levante, Spain",0,FALSE
1084,Málaga CF,La Rosaleda,Spain,ES1,36.74,-4.4258,reczna korekta,0,FALSE
237,RCD Mallorca,Mallorca Son Moix,Spain,ES1,39.5698469,2.6494492,"RCD Mallorca, Spain",0,FALSE
367,Rayo Vallecano,Estadio de Vallecas,Spain,ES1,40.3765566,-3.6142162,"Rayo Vallecano, Spain",0,FALSE
150,Real Betis,La Cartuja,Spain,ES1,37.3862689,-5.9942194,"Real Betis, Spain",0,FALSE
418,Real Madrid,Santiago Bernabéu,Spain,ES1,40.4199798,-3.7035925,"Real Madrid, Spain",0,FALSE
2497,Real Oviedo,Carlos Tartiere,Spain,ES1,43.3618265,-5.8590734,"Real Oviedo, Spain",0,FALSE
681,Real Sociedad,Anoeta,Spain,ES1,43.3218553,-1.9833251,"Real Sociedad, Spain",0,FALSE
366,Real Valladolid,José Zorrilla,Spain,ES1,41.6445789,-4.7612638,"José Zorrilla, Real Valladolid, Spain",0.1626469099658792,FALSE
142,Real Zaragoza,La Romareda,Spain,ES1,41.6558189,-0.8795515,"Real Zaragoza, Spain",0,FALSE
1533,SD Eibar,Ipurua,Spain,ES1,43.1843316,-2.472398,"SD Eibar, Spain",0,FALSE
5358,SD Huesca,El Alcoraz,Spain,ES1,42.1361,-0.4089,reczna korekta,0,FALSE
368,Sevilla FC,Ramón Sánchez-Pizjuán,Spain,ES1,37.3886303,-5.9953403,"Sevilla FC, Spain",0,FALSE
2448,Sporting Gijón,El Molinón - Enrique Castro Quini,Spain,ES1,43.4976518,-5.6811121,"Sporting Gijón, Spain",0,FALSE
3302,UD Almería,Power Horse Stadium,Spain,ES1,36.84,-2.435,reczna korekta,0,FALSE
472,UD Las Palmas,Estadio de Gran Canaria,Spain,ES1,28.0022552,-15.4057081,"UD Las Palmas, Spain",0,FALSE
1049,Valencia,Mestalla,Spain,ES1,39.4745279,-0.3581566,"Mestalla, Valencia, Spain",1.6499025651410184,FALSE
1050,Villarreal,La Cerámica,Spain,ES1,39.9442083,-0.1034046,"La Cerámica, Villarreal, Spain",0.812563895958826,FALSE
