club_id,lat,lon,geo_query,lat_check,lon_check,dist_km,flag
40,44.7936698,-0.668297,"G. Bordeaux, France",44.7936698,-0.668297,0,FALSE
738,49.4938975,0.1079732,"Le Havre AC, France",49.4938975,0.1079732,0,FALSE
162,42.2803146,9.4304477,"Monaco, France",42.2803146,9.4304477,0,FALSE
1160,43.8156,4.3589,reczna korekta,43.8156,4.3589,0,FALSE
583,48.8715278,2.3032604,"PSG, France",48.8715278,2.3032604,0,FALSE
10004,48.8534951,2.3483915,"Paris FC, France",48.8534951,2.3483915,0,FALSE
595,42.6526498,9.4421489,"SC Bastia, France",42.6526498,9.4421489,0,FALSE
1162,49.179,-0.3927,reczna korekta,49.179,-0.3927,0,FALSE
3911,48.4276292,-4.4699827,"Stade Brestois, France",48.4276292,-4.4699827,0,FALSE
273,47.6359676,-2.9575816,"Stade Rennais, France",47.6359676,-2.9575816,0,FALSE
1423,50.3579317,3.5234846,"Valenciennes FC, France",50.3579317,3.5234846,0,FALSE
3,50.938361,6.959974,"1.FC Köln, Germany",50.938361,6.959974,0,FALSE
4,49.453872,11.077298,"1.FC Nuremberg, Germany",49.453872,11.077298,0,FALSE
10,52.0314,8.5167,reczna korekta,52.0314,8.5167,0,FALSE
105,49.872775,8.651177,"Darmstadt 98, Germany",49.872775,8.651177,0,FALSE
23,52.2646577,10.5236066,"E. Braunschweig, Germany",52.2646577,10.5236066,0,FALSE
38,51.2254018,6.7763137,"F. Düsseldorf, Germany",51.2254018,6.7763137,0,FALSE
4795,48.7633802,11.4243,"FC Ingolstadt, Germany",48.7633802,11.4243,0,FALSE
33,51.5580635,7.0634587,"FC Schalke 04, Germany",51.5580635,7.0634587,0,FALSE
65,49.5003763,10.996705,"Greuther Fürth, Germany",49.5003763,10.996705,0,FALSE
42,52.3744779,9.7385532,"Hannover 96, Germany",52.3744779,9.7385532,0,FALSE
44,52.5102617,13.3809383,"Hertha BSC, Germany",52.5102617,13.3809383,0,FALSE
533,49.2723872,8.8409448,"Hoffenheim, Germany",49.2723872,8.8409448,0,FALSE
127,51.730548,8.7778633,"SC Paderborn, Germany",51.730548,8.7778633,0,FALSE
89,52.5062782,13.1881814,"Union Berlin, Germany",52.5062782,13.1881814,0,FALSE
80,51.4907434,7.2362613,"VfL Bochum, Germany",51.4907434,7.2362613,0,FALSE
800,43.0884778,12.4326811,"Atalanta BC, Italy",43.0884778,12.4326811,0,FALSE
862,45.4575984,10.9464024,"Chievo Verona, Italy",45.4575984,10.9464024,0,FALSE
2239,45.1683868,9.8900934,"Cremonese, Italy",45.1683868,9.8900934,0,FALSE
430,42.9637778,10.5348607,"Fiorentina, Italy",42.9637778,10.5348607,0,FALSE
276,45.4334792,10.8928406,"Hellas Verona, Italy",45.4334792,10.8928406,0,FALSE
46,42.7296354,12.729909899999999,"Inter, Italy",42.7296354,12.729909899999999,0,FALSE
506,44.9779934,7.6151806,"Juventus, Italy",44.9779934,7.6151806,0,FALSE
458,38.1112268,13.3524434,"Palermo, Italy",38.1112268,13.3524434,0,FALSE
2722,44.7652315,10.8075192,"SPAL, Italy",44.7652315,10.8075192,0,FALSE
380,40.6790461,14.7600051,"Salernitana, Italy",40.6790461,14.7600051,0,FALSE
1038,44.4155493,8.9526677,"Sampdoria, Italy",44.4155493,8.9526677,0,FALSE
6574,44.5409769,10.7829023,"Sassuolo, Italy",44.5409769,10.7829023,0,FALSE
3522,44.1011256,9.8079967,"Spezia Calcio, Italy",44.1011256,9.8079967,0,FALSE
410,46.4097027,13.1951425,"Udinese, Italy",46.4097027,13.1951425,0,FALSE
238,52.3970048,16.8588798,"Lech Poznan, Poland",52.3970048,16.8588798,0,FALSE
4000,54.3906621,18.6396096,"Lechia Gdansk, Poland",54.3906621,18.6396096,0,FALSE
255,52.2213093,21.0417691,"Legia Warszawa, Poland",52.2213093,21.0417691,0,FALSE
6112,50.2888459,18.6894881,"Piast Gliwice, Poland",50.2888459,18.6894881,0,FALSE
7154,51.4097973,21.1723041,"Radomiak, Poland",51.4097973,21.1723041,0,FALSE
1108,42.3927003,-0.3732675,"Alavés, Spain",42.3927003,-0.3732675,0,FALSE
621,43.2625346,-2.9466836,"Athletic, Spain",43.2625346,-2.9466836,0,FALSE
13,40.4018734,-3.7204204,"Atlético, Spain",40.4018734,-3.7204204,0,FALSE
331,42.7966736,-1.6371255,"CA Osasuna, Spain",42.7966736,-1.6371255,0,FALSE
1244,40.3281942,-3.76527,"CD Leganés, Spain",40.3281942,-3.76527,0,FALSE
940,42.2330354,-8.7155448,"Celta de Vigo, Spain",42.2330354,-8.7155448,0,FALSE
